run,series,type,nfiles_on_nsdf_cli,available_on_nsdf_cli
Run74,07210922_2018,Am/lead,0,False
Run74,07210922_2108,Am/lead,0,False
Run74,07210922_2202,Am/lead,0,False
Run74,07210922_2234,Am/lead,0,False
Run74,07210924_1041,Am/lead,0,False
Run74,07210924_1139,Am/lead,0,False
Run74,07210924_1358,Am/lead,0,False
Run74,07210924_1547,Am/lead,0,False
Run74,07210924_1717,Am/lead,0,False
Run74,07210924_2003,Am/lead,0,False
Run74,07210924_2200,Am/lead,0,False
Run74,07210925_0908,Am/lead,0,False
Run74,07210925_0909,Am/lead,0,False
Run74,07210925_0922,Am/lead,0,False
Run74,07210925_1043,Am/lead,0,False
Run74,07210925_1044,Am/lead,0,False
Run74,07210925_1056,Am/lead,0,False
Run74,07210925_1347,Am/lead,0,False
Run74,07210925_1348,Am/lead,0,False
Run74,07210925_1357,Am/lead,0,False
Run74,07210925_1520,Am/lead,0,False
Run74,07210925_1521,Am/lead,0,False
Run74,07210925_1530,Am/lead,0,False
Run74,07210925_1648,Am/lead,0,False
Run74,07210925_1649,Am/lead,0,False
Run74,07210925_1657,Am/lead,0,False
Run74,07210926_0831,Am/lead,0,False
Run74,07210926_0832,Am/lead,0,False
Run74,07210926_0839,Am/lead,0,False
Run74,07210926_0956,Am/lead,0,False
Run74,07210926_0957,Am/lead,0,False
Run74,07210926_1006,Am/lead,0,False
Run74,07210926_1115,Am/lead,0,False
Run74,07210926_1116,Am/lead,0,False
Run74,07210926_1140,Am/lead,0,False
Run74,07210926_1459,Am/lead,0,False
Run74,07210926_1500,Am/lead,0,False
Run74,07210926_1536,Am/lead,0,False
Run74,07210926_1714,Am/lead,0,False
Run74,07210926_1715,Am/lead,0,False
Run74,07210926_1750,Am/lead,0,False
Run74,07210926_1751,Am/lead,0,False
Run74,07210926_1815,Am/lead,0,False
Run74,07210926_1816,Am/lead,0,False
Run74,07210926_1842,Am/lead,0,False
Run74,07210926_1843,Am/lead,0,False
Run74,07210926_1911,Am/lead,0,False
Run74,07210926_1912,Am/lead,0,False
Run74,07210926_1944,Am/lead,0,False
Run74,07210926_1945,Am/lead,0,False
