series,type,source_shield,HV,trigger,duration_min,on_nsdf,n_dumps,first_dump,last_dump,missing_dumps,size_gib,live_check,hidden_by_filter,local_dumps,local_empty_stubs
07220830_2033,Side2,"PuBe / Pb&poly, lead stack, borax",-85,DCRC1pB 10,44,True,44,1,44,0,1.62,listed dumps found; none beyond,False,0,0
07220830_2118,Side2,"PuBe / Pb&poly, lead stack, borax",-84.8,NaI,723,True,723,1,723,0,14.02,listed dumps found; none beyond,False,0,0
07220831_0955,Side2,"PuBe / Pb&poly, lead stack, borax",-84,DCRC1pB 10,5,True,3,1,3,0,0.11,listed dumps found; none beyond,False,0,0
07220831_1002,Side2,"PuBe / Pb&poly, lead stack, borax",-81,DCRC1pB 10,103,True,103,1,103,0,5.45,listed dumps found; none beyond,False,0,0
07220831_1151,Side2,"PuBe / Pb&poly, lead stack, borax",-84.2,NaI,407,True,407,1,407,0,7.88,listed dumps found; none beyond,False,0,0
07220831_1846,Side2,"PuBe / Pb&poly, lead stack, borax",-83.9,DCRC1pB 10,94,True,94,1,94,0,4.68,listed dumps found; none beyond,False,0,0
07220831_2022,Side2,"PuBe / Pb&poly, lead stack, borax",-83.8,DCRC3pA 120,118,False,0,,,,,absent (F0001-F0005),True,0,0
07220906_1510,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC1pB 10,53,True,53,1,53,0,3.92,listed dumps found; none beyond,False,0,0
07220906_1614,Side2,"PuBe / Pb&poly, lead stack, borax",0,NaI,183,True,183,1,183,0,3.44,listed dumps found; none beyond,False,0,0
07220909_1115,Side2,"PuBe / Pb&poly, lead stack, borax",0,,,True,19,1,19,0,1.3,listed dumps found; none beyond,False,0,0
07220909_1200,Side2,"PuBe / Pb&poly, lead stack, borax",0,,,True,14,1,14,0,0.94,listed dumps found; none beyond,False,0,0
07220909_1256,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC1pB 10,44,True,44,1,44,0,3.14,listed dumps found; none beyond,False,0,0
07220909_1340,Side2,"PuBe / Pb&poly, lead stack, borax",0,SiHV&NaI,182,True,182,1,182,0,13.9,listed dumps found; none beyond,False,0,0
07220909_1648,Side2,"PuBe / Pb&poly, lead stack, borax",0,NaI,196,True,196,1,196,0,3.69,listed dumps found; none beyond,False,0,0
07220909_2023,Side2,"PuBe / Pb&poly, lead stack, borax",-20.7,DCRC1pB 10,38,True,38,1,38,0,3.04,listed dumps found; none beyond,False,0,0
07220909_2102,Side2,"PuBe / Pb&poly, lead stack, borax",-20.9,NaI,25,True,25,1,25,0,0.5,listed dumps found; none beyond,False,0,0
07220909_2243,Side2,"PuBe / Pb&poly, lead stack, borax",-20.9,NaI,796,True,796,1,796,0,15.86,listed dumps found; none beyond,False,0,0
07220910_1210,Side2,"PuBe / Pb&poly, lead stack, borax",-20.7,DCRC1pB 10,34,True,34,1,34,0,2.75,listed dumps found; none beyond,False,0,0
07220910_1517,Side2,"PuBe / Pb&poly, lead stack, borax",-4.1,DCRC1pB 10,49,True,49,1,49,0,3.84,listed dumps found; none beyond,False,0,0
07220910_1608,Side2,"PuBe / Pb&poly, lead stack, borax",-4.1,NaI,982,True,982,1,982,0,17.33,listed dumps found; none beyond,False,0,0
07220912_1955,Side2,"PuBe / Pb&poly, lead stack, borax",-66.8,DCRC1pB 10,70,True,70,1,70,0,5.81,listed dumps found; none beyond,False,0,0
07220912_2107,Side2,"PuBe / Pb&poly, lead stack, borax",-66.8,NaI,657,True,657,1,657,0,13.57,listed dumps found; none beyond,False,0,0
07220913_0814,Side2,"PuBe / Pb&poly, lead stack, borax",-66.8,DCRC1pB 10,82,True,82,1,82,0,6.86,listed dumps found; none beyond,False,0,0
07220913_1457,Side2,"PuBe / Pb&poly, lead stack, borax",97.9,DCRC1pB 10,45,True,45,1,45,0,3.63,listed dumps found; none beyond,False,0,0
07220913_1546,Side2,"PuBe / Pb&poly, lead stack, borax",97.9,NaI,718,True,718,1,718,0,14.76,listed dumps found; none beyond,False,0,0
07220914_1133,Side2,"PuBe / Pb&poly, lead stack, borax",97.8,DCRC1pB 10,43,True,42,1,42,0,3.35,listed dumps found; none beyond,False,0,0
07220916_2059,Side2,"PuBe / Pb&poly, lead stack, borax",-79.4,DCRC1pB 10,59,True,59,1,59,0,4.56,listed dumps found; none beyond,False,0,0
07220916_2200,Side2,"PuBe / Pb&poly, lead stack, borax",-79.7,NaI,747,True,747,1,747,0,14.42,listed dumps found; none beyond,False,0,0
07220917_1039,Side2,"PuBe / Pb&poly, lead stack, borax",-80.2,DCRC1pB 10,103,True,103,1,103,0,8.14,listed dumps found; none beyond,False,0,0
07220917_1225,Side2,"PuBe / Pb&poly, lead stack, borax",-80.3,NaI,531,True,531,1,531,0,10.29,listed dumps found; none beyond,False,0,0
07220917_2125,Side2,"PuBe / Pb&poly, lead stack, borax",-80.3,DCRC1pB 10,30,True,30,1,30,0,2.29,listed dumps found; none beyond,False,0,0
07220917_2155,Side2,"PuBe / Pb&poly, lead stack, borax",-80.3,NaI,273,True,273,1,273,0,5.29,listed dumps found; none beyond,False,0,0
07220919_1723,Side2,"PuBe / Pb&poly, lead stack, borax",-80.3,DCRC1pB 10,44,True,44,1,44,0,3.28,listed dumps found; none beyond,False,0,0
07220919_1808,Side2,"PuBe / Pb&poly, lead stack, borax",-80.6,NaI,4,True,4,1,4,0,0.07,listed dumps found; none beyond,False,0,0
07220919_2012,Side2,"PuBe / Pb&poly, lead stack, borax",-80.7,NaI,111,True,111,1,111,0,2.12,listed dumps found; none beyond,False,0,0
07220920_0925,Side2,"PuBe / Pb&poly, lead stack, borax",-80,DCRC1pB 10,42,True,42,1,42,0,3.09,listed dumps found; none beyond,False,0,0
07220920_1007,Side2,"PuBe / Pb&poly, lead stack, borax",-80,NaI,636,True,636,1,636,0,12.25,listed dumps found; none beyond,False,0,0
07220920_2052,Side2,"PuBe / Pb&poly, lead stack, borax",-78.9,DCRC1pB 10,45,True,45,1,45,0,3.3,listed dumps found; none beyond,False,0,0
07220920_2138,Side2,"PuBe / Pb&poly, lead stack, borax",-78.9,NaI,689,True,689,1,689,0,13.09,listed dumps found; none beyond,False,0,0
